scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
anaphylaxis,svr_factor,hemodynamics,0.85,lactate_peak,1.855,1.721,0.134
anaphylaxis,svr_factor,hemodynamics,0.85,rescue_margin,0.907,0.942,-0.035
anaphylaxis,svr_factor,hemodynamics,1.0,spo2_nadir,96.1,96.1,0.0
anaphylaxis,svr_factor,hemodynamics,1.0,map_nadir,51.8,51.8,0.0
anaphylaxis,svr_factor,hemodynamics,1.0,lactate_peak,1.721,1.721,0.0
anaphylaxis,svr_factor,hemodynamics,1.0,rescue_margin,0.942,0.942,0.0
anaphylaxis,svr_factor,hemodynamics,1.15,spo2_nadir,96.1,96.1,0.0
anaphylaxis,svr_factor,hemodynamics,1.15,map_nadir,53.742,51.8,1.942
anaphylaxis,svr_factor,hemodynamics,1.15,lactate_peak,1.587,1.721,-0.134
anaphylaxis,svr_factor,hemodynamics,1.15,rescue_margin,0.977,0.942,0.035
anaphylaxis,svr_factor,hemodynamics,1.3,spo2_nadir,96.1,96.1,0.0
anaphylaxis,svr_factor,hemodynamics,1.3,map_nadir,55.685,51.8,3.885
anaphylaxis,svr_factor,hemodynamics,1.3,lactate_peak,1.5,1.721,-0.221
anaphylaxis,svr_factor,hemodynamics,1.3,rescue_margin,1.0,0.942,0.058
anaphylaxis,svr_factor,hemodynamics,1.45,spo2_nadir,96.1,96.1,0.0
anaphylaxis,svr_factor,hemodynamics,1.45,map_nadir,57.627,51.8,5.827
anaphylaxis,svr_factor,hemodynamics,1.45,lactate_peak,1.5,1.721,-0.221
anaphylaxis,svr_factor,hemodynamics,1.45,rescue_margin,1.0,0.942,0.058
anaphylaxis,contractility_factor,hemodynamics,0.55,spo2_nadir,96.1,96.1,0.0
anaphylaxis,contractility_factor,hemodynamics,0.55,map_nadir,44.807,51.8,-6.993
anaphylaxis,contractility_factor,hemodynamics,0.55,lactate_peak,2.203,1.721,0.482
anaphylaxis,contractility_factor,hemodynamics,0.55,rescue_margin,0.817,0.942,-0.125
anaphylaxis,contractility_factor,hemodynamics,0.6833,spo2_nadir,96.1,96.1,0.0
anaphylaxis,contractility_factor,hemodynamics,0.6833,map_nadir,46.878,51.8,-4.922
anaphylaxis,contractility_factor,hemodynamics,0.6833,lactate_peak,2.06,1.721,0.339
anaphylaxis,contractility_factor,hemodynamics,0.6833,rescue_margin,0.854,0.942,-0.088
anaphylaxis,contractility_factor,hemodynamics,0.8167,spo2_nadir,96.1,96.1,0.0
anaphylaxis,contractility_factor,hemodynamics,0.8167,map_nadir,48.952,51.8,-2.848
anaphylaxis,contractility_factor,hemodynamics,0.8167,lactate_peak,1.917,1.721,0.196
anaphylaxis,contractility_factor,hemodynamics,0.8167,rescue_margin,0.891,0.942,-0.051
anaphylaxis,contractility_factor,hemodynamics,0.95,spo2_nadir,96.1,96.1,0.0
anaphylaxis,contractility_factor,hemodynamics,0.95,map_nadir,51.023,51.8,-0.777
anaphylaxis,contractility_factor,hemodynamics,0.95,lactate_peak,1.774,1.721,0.053
anaphylaxis,contractility_factor,hemodynamics,0.95,rescue_margin,0.928,0.942,-0.014
anaphylaxis,contractility_factor,hemodynamics,1.0833,spo2_nadir,96.1,96.1,0.0
anaphylaxis,contractility_factor,hemodynamics,1.0833,map_nadir,53.094,51.8,1.294
anaphylaxis,contractility_factor,hemodynamics,1.0833,lactate_peak,1.631,1.721,-0.09
anaphylaxis,contractility_factor,hemodynamics,1.0833,rescue_margin,0.966,0.942,0.024
anaphylaxis,contractility_factor,hemodynamics,1.2167,spo2_nadir,96.1,96.1,0.0
anaphylaxis,contractility_factor,hemodynamics,1.2167,map_nadir,55.168,51.8,3.368
anaphylaxis,contractility_factor,hemodynamics,1.2167,lactate_peak,1.5,1.721,-0.221
anaphylaxis,contractility_factor,hemodynamics,1.2167,rescue_margin,1.0,0.942,0.058
anaphylaxis,contractility_factor,hemodynamics,1.35,spo2_nadir,96.1,96.1,0.0
anaphylaxis,contractility_factor,hemodynamics,1.35,map_nadir,57.239,51.8,5.439
anaphylaxis,contractility_factor,hemodynamics,1.35,lactate_peak,1.5,1.721,-0.221
anaphylaxis,contractility_factor,hemodynamics,1.35,rescue_margin,1.0,0.942,0.058
anaphylaxis,alveolar_oxygen_reserve,respiration,0.45,spo2_nadir,88.95,96.1,-7.15
anaphylaxis,alveolar_oxygen_reserve,respiration,0.45,map_nadir,51.8,51.8,0.0
